postalCode,lat,lon,locality,label,poi_id,types
22100,48.45666,-2.05324,Dinan,Jeudi Locos : Concert de Mô’ti Tëi (le folk blues),FMABRE022V5458JI,["EntertainmentAndEvent"]
22100,48.457322,-2.0378079,Lanvallay,Sortie nature - Embarquez du port de Dinan vers la Rance maritime,FMABRE022V541617,["EntertainmentAndEvent"]
22100,48.45391,-2.04258,Dinan,Exposition été 2023 - L'Art du coin de la rue,FMABRE022V5421R2,["EntertainmentAndEvent"]
22490,48.527538,-2.00327,Plouër-sur-Rance,Descente de la Rance en canoë-kayak de Dinan à Plouër-sur-Rance,FMABRE022V544T1F,["EntertainmentAndEvent"]
22100,48.4604221,-2.0478325,Dinan,Avant-première : 100 ans de Warner Bros "Joker",FMABRE022V5448HQ,["EntertainmentAndEvent"]
35800,48.6399259,-2.057202,Dinard,Exposition Irving Penn - Photographies de la Collection Pinault,FMABRE035V52BQIY,["CulturalSite" "EntertainmentAndEvent"]
22490,48.5521,-2.06191,Tréméreuc,Compétition de Golf - Allianz - Agence Davy,FMABRE035V52AHW7,["EntertainmentAndEvent"]
22490,48.527538,-2.00327,Plouër-sur-Rance,Descente de la Rance en canoë-kayak de Dinan à Plouër-sur-Rance,FMABRE022V544T0X,["EntertainmentAndEvent"]
35430,48.5709329,-1.9181092,Saint-Père-Marc-en-Poulet,Bankal,FMABRE035V523ODB,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WM3,["EntertainmentAndEvent" "Visit"]
22100,48.4497326,-2.0439861,Dinan,Eveillez le château de Dinan - Les Minutes Bleues,FMABRE022V5432QZ,["EntertainmentAndEvent" "Visit"]
35870,48.57671,-2.01213,Le Minihic-sur-Rance,Rencontres Théâtrales,FMABRE035V527151,["EntertainmentAndEvent"]
35780,48.61757,-2.02879,La Richardais,Exposition - Archéologie sous-marine en Rance,FMABRE035V52BBE6,["EntertainmentAndEvent"]
22100,48.4617592,-2.032834,Dinan,Exposition Yvonne Jean-Haffen & Mathurin Méheut dans l’intimité de l’atelier,FMABRE022V53N6FN,["EntertainmentAndEvent"]
35400,48.65448,-1.973553,Saint-Malo,Cours de gym suédoise au stade Henri Lemarié,FMABRE035V51Z5YT,["EntertainmentAndEvent"]
