Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_geographiques_x,coordonnees_geographiques_y
27227,ETREVILLE,27350,,ETREVILLE,49.380160393,0.655173232
27228,ETURQUERAYE,27350,,ETURQUERAYE,49.369218788,0.688277287
27235,FAVEROLLES LA CAMPAGNE,27190,,FAVEROLLES LA CAMPAGNE,49.019732206,0.927221011
27238,FERRIERES HAUT CLOCHER,27190,,FERRIERES HAUT CLOCHER,49.020332356,0.987598152
27240,LA FERRIERE SUR RISLE,27760,,LA FERRIERE SUR RISLE,48.97812187,0.785966217
27242,LE FIDELAIRE,27190,,LE FIDELAIRE,48.943811855,0.802360355
27251,FONTAINE L ABBE,27470,,FONTAINE L ABBE,49.088249522,0.687917159
27256,LA FORET DU PARC,27220,,LA FORET DU PARC,48.927291,1.241203107
27259,FOUCRAINVILLE,27220,,FOUCRAINVILLE,48.927483092,1.319886492
27261,FOUQUEVILLE,27370,,FOUQUEVILLE,49.222385038,0.963255003
27263,LE PERREY,27500,FOURMETOT,LE PERREY,49.390612805,0.554781283
27263,LE PERREY,27680,ST OUEN DES CHAMPS,LE PERREY,49.390612805,0.554781283
27266,FRANQUEVILLE,27800,,FRANQUEVILLE,49.173391054,0.685942493
27275,GAILLON,27600,,GAILLON,49.158932793,1.346175179
27284,GISORS,27140,,GISORS,49.278861756,1.768430505
27286,GIVERVILLE,27560,,GIVERVILLE,49.191804945,0.568125315
27289,LA GOULAFRIERE,27390,,LA GOULAFRIERE,48.947343985,0.431518691
27290,GOUPIL OTHON,27170,LE TILLEUL OTHON,GOUPIL OTHON,49.119523661,0.775621881
27294,VAL D ORGER,27380,GRAINVILLE,VAL D ORGER,49.341356551,1.388564813
27295,GRAND CAMP,27270,,GRAND CAMP,49.043885168,0.53344891
27300,GROSLEY SUR RISLE,27170,,GROSLEY SUR RISLE,49.045435109,0.805054074
27307,GUISENIERS,27700,,GUISENIERS,49.213881375,1.478179112
27318,LA HAYE DE CALLEVILLE,27800,,LA HAYE DE CALLEVILLE,49.186865492,0.776386893
27320,LA HAYE DU THEIL,27370,,LA HAYE DU THEIL,49.238448743,0.875865073
27329,HENNEZIS,27700,,HENNEZIS,49.190503666,1.456612737
27332,HEUDEBOUVILLE,27400,,HEUDEBOUVILLE,49.192430563,1.236824538
27334,HEUDREVILLE EN LIEUVIN,27230,,HEUDREVILLE EN LIEUVIN,49.193805819,0.504682641
27336,LA HEUNIERE,27950,,LA HEUNIERE,49.064612205,1.412654088
27341,L HOSMES,27570,,L HOSMES,48.789475809,1.032166873
27342,HOUETTEVILLE,27400,,HOUETTEVILLE,49.129185565,1.090506929
27343,HOULBEC COCHEREL,27120,,HOULBEC COCHEREL,49.064064917,1.361066255
27346,HOUVILLE EN VEXIN,27440,,HOUVILLE EN VEXIN,49.300204273,1.357965674
27348,IGOVILLE,27460,,IGOVILLE,49.32317521,1.15073882
27351,INCARVILLE,27400,,INCARVILLE,49.251811858,1.154084905
27355,IVRY LA BATAILLE,27540,,IVRY LA BATAILLE,48.886226343,1.446902465
27358,JOUY SUR EURE,27120,,JOUY SUR EURE,49.049121264,1.291213773
27365,LERY,27690,,LERY,49.287441332,1.195356246
27374,LOUVERSEY,27190,,LOUVERSEY,48.990772264,0.915609501
27378,LA MADELEINE DE NONANCOURT,27320,,LA MADELEINE DE NONANCOURT,48.790211487,1.217757113
27383,MANDRES,27130,,MANDRES,48.753118783,0.851354274
27384,MANNEVILLE LA RAOULT,27210,,MANNEVILLE LA RAOULT,49.368776468,0.327804891
27401,LE MESNIL FUGUET,27930,,LE MESNIL FUGUET,49.072937323,1.113196341
27413,MONTFORT SUR RISLE,27290,,MONTFORT SUR RISLE,49.294858394,0.670518096
27414,MONTREUIL L ARGILLE,27390,ST AQUILIN D AUGERONS,MONTREUIL L ARGILLE,48.93944599,0.467972935
27425,NASSANDRES SUR RISLE,27170,PERRIERS LA CAMPAGNE,NASSANDRES SUR RISLE,49.14237939,0.714290167
27426,NEAUFLES ST MARTIN,27830,,NEAUFLES ST MARTIN,49.277555872,1.726408944
27427,NEAUFLES AUVERGNY,27250,AUVERGNY,NEAUFLES AUVERGNY,48.874702476,0.744632052
